location_name,QAQC,event_year,event_name_calc,Module,Direction,Spherical_Densiometer_Tally
CHIC002,-1,2016,CHIC002Q,4,W,91
CHIC002,-1,2016,CHIC002Q,2,S,88
CHIC002,-1,2016,CHIC002Q,3,S,88
CHIC002,-1,2016,CHIC002Q,1,W,81
CHIC002,-1,2016,CHIC002Q,2,N,90
CHIC002,-1,2016,CHIC002Q,1,N,86
CHIC002,-1,2016,CHIC002Q,1,E,87
CHIC002,-1,2016,CHIC002Q,3,E,89
STRI008,-1,2011,STRI008Q,4,N,43
STRI008,-1,2011,STRI008Q,1,E,78
STRI008,-1,2011,STRI008Q,1,N,54
STRI008,-1,2011,STRI008Q,2,W,80
STRI008,-1,2011,STRI008Q,2,N,60
STRI008,-1,2011,STRI008Q,4,W,74
STRI008,-1,2011,STRI008Q,2,S,86
STRI008,-1,2011,STRI008Q,1,S,63
STRI008,-1,2011,STRI008Q,3,E,46
STRI008,-1,2011,STRI008Q,3,S,45
STRI008,-1,2011,STRI008Q,3,W,43
STRI008,-1,2011,STRI008Q,3,N,42
STRI008,-1,2011,STRI008Q,2,E,80
STRI008,-1,2011,STRI008Q,4,S,82
STRI008,-1,2011,STRI008Q,4,E,74
STRI008,-1,2011,STRI008Q,1,W,70
STRI008,0,2011,STRI008,3,W,76
STRI008,0,2011,STRI008,1,E,68
STRI008,0,2011,STRI008,4,W,90
STRI008,0,2011,STRI008,1,N,73
STRI008,0,2011,STRI008,2,E,88
STRI008,0,2011,STRI008,3,N,74
STRI008,0,2011,STRI008,3,S,64
STRI008,0,2011,STRI008,4,S,91
STRI008,0,2011,STRI008,1,S,68
STRI008,0,2011,STRI008,2,S,90
STRI008,0,2011,STRI008,4,N,60
STRI008,0,2011,STRI008,3,E,66
STRI008,0,2011,STRI008,2,W,88
STRI008,0,2011,STRI008,2,N,79
STRI008,0,2011,STRI008,1,W,77
STRI008,0,2011,STRI008,4,E,71
COWP019,0,2012,COWP019,2,W,87
COWP019,0,2012,COWP019,4,N,75
COWP019,0,2012,COWP019,3,S,75
COWP019,0,2012,COWP019,4,W,72
COWP019,0,2012,COWP019,4,S,81
COWP019,0,2012,COWP019,3,E,78
COWP019,0,2012,COWP019,1,W,81
COWP019,0,2012,COWP019,3,W,78
COWP019,0,2012,COWP019,2,N,73
COWP019,0,2012,COWP019,2,S,79
COWP019,0,2012,COWP019,1,E,78
COWP019,0,2012,COWP019,1,S,68
COWP019,0,2012,COWP019,4,E,89
COWP019,0,2012,COWP019,2,E,83
COWP019,0,2012,COWP019,3,N,69
COWP019,0,2012,COWP019,1,N,78
COWP019,-1,2012,COWP019Q,1,S,76
COWP019,-1,2012,COWP019Q,4,S,92
COWP019,-1,2012,COWP019Q,2,S,86
COWP019,-1,2012,COWP019Q,4,N,94
COWP019,-1,2012,COWP019Q,3,N,89
COWP019,-1,2012,COWP019Q,2,E,64
COWP019,-1,2012,COWP019Q,1,N,90
COWP019,-1,2012,COWP019Q,3,E,90
COWP019,-1,2012,COWP019Q,1,W,89
COWP019,-1,2012,COWP019Q,3,S,83
COWP019,-1,2012,COWP019Q,4,W,87
COWP019,-1,2012,COWP019Q,2,N,64
COWP019,-1,2012,COWP019Q,1,E,92
COWP019,-1,2012,COWP019Q,3,W,84
COWP019,-1,2012,COWP019Q,2,W,91
COWP019,-1,2012,COWP019Q,4,E,93
MACA031,0,2014,MACA031,1,W,69
MACA031,0,2014,MACA031,4,W,88
MACA031,0,2014,MACA031,3,N,83
MACA031,0,2014,MACA031,2,E,75
MACA031,0,2014,MACA031,2,W,78
MACA031,0,2014,MACA031,4,N,81
MACA031,0,2014,MACA031,1,E,76
MACA031,0,2014,MACA031,4,S,82
MACA031,0,2014,MACA031,2,S,77
MACA031,0,2014,MACA031,2,N,76
MACA031,0,2014,MACA031,3,S,83
MACA031,0,2014,MACA031,1,S,79
MACA031,0,2014,MACA031,1,N,71
MACA031,0,2014,MACA031,4,E,81
MACA031,0,2014,MACA031,3,E,78
MACA031,0,2014,MACA031,3,W,78
MACA031,-1,2014,MACA031Q,3,N,84
MACA031,-1,2014,MACA031Q,2,N,88
MACA031,-1,2014,MACA031Q,1,N,94
MACA031,-1,2014,MACA031Q,4,S,86
