Park,SubPark,CEGL,community name,CommunityAlliance,CommunityGroup,CommunityMacroGroup,"Count of plots in subpark, this cegl",gp1,gp2,MP comment
ABLI,BIRT,CEGL007879,Juglans nigra / Verbesina alternifolia Ruderal Forest,A3228 Tuliptree - Black Walnut - Black Locust Ruderal Forest Alliance AKA Liriodendron tulipifera - Juglans nigra - Robinia pseudoacacia Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,1,Ruderal Forest,Ruderal Forest,
ABLI,BIRT,CEGL004133,Prunus serotina - Sassafras albidum - (Fraxinus americana) / Juniperus virginiana Ruderal Forest,A3229 Red Maple - Black Cherry - Eastern White Pine Ruderal Forest Alliance AKA Acer rubrum - Prunus serotina - Pinus strobus Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,1,Ruderal Forest,Ruderal Forest,
MACA,MACA,CEGL004133,Prunus serotina - Sassafras albidum - (Fraxinus americana) / Juniperus virginiana Ruderal Forest,A3229 Red Maple - Black Cherry - Eastern White Pine Ruderal Forest Alliance AKA Acer rubrum - Prunus serotina - Pinus strobus Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,7,Ruderal Forest,Ruderal Forest,
COWP,COWP,CEGL006011,Pinus taeda / Liquidambar styraciflua - Acer rubrum var. rubrum / Vaccinium stamineum Ruderal Forest,A3231 Loblolly Pine - Tuliptree - Sweetgum Ruderal Forest Alliance AKA Pinus taeda - Liriodendron tulipifera - Liquidambar styraciflua Ruderal Forest Alliance,G031 Southeastern Native Ruderal Forest Group,M305 Southeastern North American Ruderal Forest Macrogroup,3,Ruderal Forest,Ruderal Forest,
LIRI,LIRI,CEGL006011,Pinus taeda / Liquidambar styraciflua - Acer rubrum var. rubrum / Vaccinium stamineum Ruderal Forest,A3231 Loblolly Pine - Tuliptree - Sweetgum Ruderal Forest Alliance AKA Pinus taeda - Liriodendron tulipifera - Liquidambar styraciflua Ruderal Forest Alliance,G031 Southeastern Native Ruderal Forest Group,M305 Southeastern North American Ruderal Forest Macrogroup,2,Ruderal Forest,Ruderal Forest,
CHCH,CHIC,CEGL007105,Pinus taeda - Liriodendron tulipifera / Acer saccharum Ruderal Forest,A3231 Loblolly Pine - Tuliptree - Sweetgum Ruderal Forest Alliance AKA Pinus taeda - Liriodendron tulipifera - Liquidambar styraciflua Ruderal Forest Alliance,G031 Southeastern Native Ruderal Forest Group,M305 Southeastern North American Ruderal Forest Macrogroup,2,Ruderal Forest,Ruderal Forest,
FODO,DONE,CEGL007105,Pinus taeda - Liriodendron tulipifera / Acer saccharum Ruderal Forest,A3231 Loblolly Pine - Tuliptree - Sweetgum Ruderal Forest Alliance AKA Pinus taeda - Liriodendron tulipifera - Liquidambar styraciflua Ruderal Forest Alliance,G031 Southeastern Native Ruderal Forest Group,M305 Southeastern North American Ruderal Forest Macrogroup,1,Ruderal Forest,Ruderal Forest,
CHCH,CHIC,CEGL008462,Pinus taeda - Liquidambar styraciflua Ruderal Forest,A3231 Loblolly Pine - Tuliptree - Sweetgum Ruderal Forest Alliance AKA Pinus taeda - Liriodendron tulipifera - Liquidambar styraciflua Ruderal Forest Alliance,G031 Southeastern Native Ruderal Forest Group,M305 Southeastern North American Ruderal Forest Macrogroup,1,Ruderal Forest,Ruderal Forest,
CHCH,LOOK,CEGL008462,Pinus taeda - Liquidambar styraciflua Ruderal Forest,A3231 Loblolly Pine - Tuliptree - Sweetgum Ruderal Forest Alliance AKA Pinus taeda - Liriodendron tulipifera - Liquidambar styraciflua Ruderal Forest Alliance,G031 Southeastern Native Ruderal Forest Group,M305 Southeastern North American Ruderal Forest Macrogroup,1,Ruderal Forest,Ruderal Forest,
GUCO,GUCO,CEGL008462,Pinus taeda - Liquidambar styraciflua Ruderal Forest,A3231 Loblolly Pine - Tuliptree - Sweetgum Ruderal Forest Alliance AKA Pinus taeda - Liriodendron tulipifera - Liquidambar styraciflua Ruderal Forest Alliance,G031 Southeastern Native Ruderal Forest Group,M305 Southeastern North American Ruderal Forest Macrogroup,1,Ruderal Forest,Ruderal Forest,
KIMO,KIMO,CEGL008462,Pinus taeda - Liquidambar styraciflua Ruderal Forest,A3231 Loblolly Pine - Tuliptree - Sweetgum Ruderal Forest Alliance AKA Pinus taeda - Liriodendron tulipifera - Liquidambar styraciflua Ruderal Forest Alliance,G031 Southeastern Native Ruderal Forest Group,M305 Southeastern North American Ruderal Forest Macrogroup,1,Ruderal Forest,Ruderal Forest,
LIRI,LIRI,CEGL008462,Pinus taeda - Liquidambar styraciflua Ruderal Forest,A3231 Loblolly Pine - Tuliptree - Sweetgum Ruderal Forest Alliance AKA Pinus taeda - Liriodendron tulipifera - Liquidambar styraciflua Ruderal Forest Alliance,G031 Southeastern Native Ruderal Forest Group,M305 Southeastern North American Ruderal Forest Macrogroup,1,Ruderal Forest,Ruderal Forest,
NISI,NISI,CEGL008462,Pinus taeda - Liquidambar styraciflua Ruderal Forest,A3231 Loblolly Pine - Tuliptree - Sweetgum Ruderal Forest Alliance AKA Pinus taeda - Liriodendron tulipifera - Liquidambar styraciflua Ruderal Forest Alliance,G031 Southeastern Native Ruderal Forest Group,M305 Southeastern North American Ruderal Forest Macrogroup,18,Ruderal Forest,Ruderal Forest,
CHCH,CHIC,CEGL007217,"Liquidambar styraciflua - Quercus (alba, falcata) Ruderal Forest",A3232 Sweetgum - Sugarberry - Water Oak Ruderal Forest Alliance AKA Liquidambar styraciflua - Celtis laevigata - Quercus nigra Ruderal Forest Alliance,G031 Southeastern Native Ruderal Forest Group,M305 Southeastern North American Ruderal Forest Macrogroup,3,Ruderal Forest,Ruderal Forest,ruderal not? Floodplain
NISI,NISI,CEGL004638,Quercus nigra Ruderal Forest,A3232 Sweetgum - Sugarberry - Water Oak Ruderal Forest Alliance AKA Liquidambar styraciflua - Celtis laevigata - Quercus nigra Ruderal Forest Alliance,G031 Southeastern Native Ruderal Forest Group,M305 Southeastern North American Ruderal Forest Macrogroup,5,Ruderal Forest,Ruderal Forest,
COWP,COWP,CEGL007216,Liquidambar styraciflua Ruderal Forest,A3232 Sweetgum - Sugarberry - Water Oak Ruderal Forest Alliance AKA Liquidambar styraciflua - Celtis laevigata - Quercus nigra Ruderal Forest Alliance,G031 Southeastern Native Ruderal Forest Group,M305 Southeastern North American Ruderal Forest Macrogroup,9,Ruderal Forest,Ruderal Forest,
SHIL,SHIL,CEGL007216,Liquidambar styraciflua Ruderal Forest,A3232 Sweetgum - Sugarberry - Water Oak Ruderal Forest Alliance AKA Liquidambar styraciflua - Celtis laevigata - Quercus nigra Ruderal Forest Alliance,G031 Southeastern Native Ruderal Forest Group,M305 Southeastern North American Ruderal Forest Macrogroup,2,Ruderal Forest,Ruderal Forest,
CHCH,LOOK,CEGL007217,"Liquidambar styraciflua - Quercus (alba, falcata) Ruderal Forest",A3232 Sweetgum - Sugarberry - Water Oak Ruderal Forest Alliance AKA Liquidambar styraciflua - Celtis laevigata - Quercus nigra Ruderal Forest Alliance,G031 Southeastern Native Ruderal Forest Group,M305 Southeastern North American Ruderal Forest Macrogroup,1,Ruderal Forest,Ruderal Forest,
FODO,DONE,CEGL007217,"Liquidambar styraciflua - Quercus (alba, falcata) Ruderal Forest",A3232 Sweetgum - Sugarberry - Water Oak Ruderal Forest Alliance AKA Liquidambar styraciflua - Celtis laevigata - Quercus nigra Ruderal Forest Alliance,G031 Southeastern Native Ruderal Forest Group,M305 Southeastern North American Ruderal Forest Macrogroup,2,Ruderal Forest,Ruderal Forest,
MACA,MACA,CEGL007217,"Liquidambar styraciflua - Quercus (alba, falcata) Ruderal Forest",A3232 Sweetgum - Sugarberry - Water Oak Ruderal Forest Alliance AKA Liquidambar styraciflua - Celtis laevigata - Quercus nigra Ruderal Forest Alliance,G031 Southeastern Native Ruderal Forest Group,M305 Southeastern North American Ruderal Forest Macrogroup,2,Ruderal Forest,Ruderal Forest,
SHIL,SHIL,CEGL007217,"Liquidambar styraciflua - Quercus (alba, falcata) Ruderal Forest",A3232 Sweetgum - Sugarberry - Water Oak Ruderal Forest Alliance AKA Liquidambar styraciflua - Celtis laevigata - Quercus nigra Ruderal Forest Alliance,G031 Southeastern Native Ruderal Forest Group,M305 Southeastern North American Ruderal Forest Macrogroup,2,Ruderal Forest,Ruderal Forest,
